заголовок,movieId,title,id,genres,cast,vote_average,director,keywords,title_key,title_ru,directors_x1,directors_x2,directors_cluster,genre_x1,genre_x2,genre_x3,genre_cluster,cast_x1,cast_x2,cast_cluster,keywords_x1,keywords_x2,keywords_cluster
 Живи и дай умереть (1973),2991,Live and Let Die (1973),253,"['Action', 'Adventure', 'Thriller']","['CliftonJames', 'JaneSeymour', 'RogerMoore', 'YaphetKotto']",6.4,Guy Hamilton,"['aftercreditsstinger', 'bomb', 'crocodile', 'drugsmuggle', 'drugtraffic', 'dualidentity', 'england', 'heroin', 'jamaica', 'londonengland', 'motorboat', 'newyork', 'secretidentity', 'secretintelligenceservice', 'secretmission', 'sheriff', 'spy', 'tarotcards', 'tombstone', 'voodoo']",liveandletdie,,0.6738151,4.092299,0,17.111319,2.298493,-2.1201468,17,0.0027769227,6.828634,21,0.34854895,10.895498,1
 Громовой шар (1965),2993,Thunderball (1965),660,"['Action', 'Adventure', 'Thriller']","['AdolfoCeli', 'ClaudineAuger', 'LucianaPaluzzi', 'SeanConnery']",6.5,Terence Young,"['bahamas', 'britishsecretservice', 'coralreef', 'fighterpilot', 'florida', 'nuclearmissile', 'paris', 'sanatorium', 'scuba', 'scubadiving', 'secretorganization']",thunderball,,9.394749,-2.5381494,1,17.111319,2.298493,-2.1201468,17,0.050138906,6.8297415,21,-22.295994,3.313395,0
 Дом на холме с привидениями (1999),2995,House on Haunted Hill (1999),11377,"['Horror', 'Mystery', 'Thriller']","['FamkeJanssen', 'GeoffreyRush', 'PeterGallagher', 'TayeDiggs']",5.5,William Malone,"['aftercreditsstinger', 'lunaticasylum']",houseonhauntedhill,,1.8880463,6.4013443,0,17.380835,0.9106286,1.9244947,17,-0.11211856,6.733366,21,-18.864351,-5.251909,0
 Быть Джоном Малковичем (1999),2997,Being John Malkovich (1999),492,"['Comedy', 'Drama', 'Fantasy']","['CameronDiaz', 'CatherineKeener', 'CharlieSheen', 'JohnCusack']",7.3,Spike Jonze,"['appropriationofanotherhumanbeing', 'brain', 'chimp', 'door', 'externallycontrolledaction', 'identity', 'individual', 'marriedcouple', 'newidentity', 'pet', 'petshop', 'puppeteer', 'secretlove', 'sexualidentity', 'subconsciousness', 'transvestism', 'witch']",beingjohnmalkovich,,8.14007,2.1827781,1,-5.868223,-3.6951091,2.4962313,12,-0.05476704,6.7800903,21,7.3509083,9.374805,1
 Крипшоу (1982),3016,Creepshow (1982),16281,"['Comedy', 'Fantasy', 'Horror']","['AdrienneBarbeau', 'FritzWeaver', 'HalHolbrook', 'LeslieNielsen']",6.7,George A. Romero,"['animatedsequence', 'anthology', 'basedoncomicbook', 'buriedalive', 'cockroach', 'gore', 'halloween', 'livingdead', 'meteor', 'monster', 'zombie']",creepshow,,3.132466,29.852322,0,-5.9385138,-6.387227,-8.391312,5,0.08360513,6.820886,21,9.39865,-3.8575583,1
 Крипшоу 2 (1987),3017,Creepshow 2 (1987),16288,['Horror'],"['DorothyLamour', 'GeorgeKennedy', 'LoisChiles', 'TomSavini']",5.9,Michael Gornick,"['anthology', 'blob', 'gore', 'hitandrun', 'hitchhiker', 'horroranthology', 'lake', 'murder', 'revenge', 'zombie']",creepshow2,,4.767018,7.9201493,0,0.8092462,-3.7382936,4.0298777,12,0.06364278,6.7094865,21,9.607624,-6.404917,1
 Ночные ястребы (1981),3029,Nighthawks (1981),21610,"['Action', 'Crime', 'Thriller']","['BillyDeeWilliams', 'LindsayWagner', 'RutgerHauer', 'SylvesterStallone']",6.4,Bruce Malmuth,[''],nighthawks,,6.0738463,9.10261,0,14.578308,2.1465719,1.7772398,15,0.011059005,6.9442253,21,-7.799057,-11.326392,0
 Космические шары (1987),3033,Spaceballs (1987),957,"['Comedy', 'ScienceFiction']","['BillPullman', 'DaphneZuniga', 'MelBrooks', 'RickMoranis']",6.7,Mel Brooks,"['altar', 'android', 'comb', 'galaxy', 'jam', 'lasergun', 'magnetbeam', 'nose', 'password', 'plasticsurgery', 'shield', 'spacebattle', 'spacemarine', 'spacemission', 'spacetravel', 'speedoflight', 'spoof', 'swordplay', 'temple']",spaceballs,,9.411995,-2.2840295,1,10.20326,9.166635,-1.6992608,19,0.24017958,6.930732,21,7.996396,7.1353006,1
 Торговые места (1983),3039,Trading Places (1983),1621,['Comedy'],"['DanAykroyd', 'EddieMurphy', 'JamieLeeCurtis', 'JimBelushi']",7.1,John Landis,"['beggar', 'bigshot', 'broker', 'christmastree', 'commodities', 'dollar', 'fishoutofwater', 'fromragstoriches', 'hoodlum', 'investor', 'millionaire', 'santahat', 'wager', 'wrongfularrest']",tradingplaces,,1.0885433,5.645642,0,-12.003901,15.815363,-13.065905,3,0.17732425,6.8930264,21,-3.89435,11.05461,1
 Под радугой (1981),3048,Under the Rainbow (1981),47941,['Comedy'],"['CarrieFisher', 'ChevyChase', 'EveArden', 'JosephMaher']",4.9,Steve Rash,[''],undertherainbow,,5.9045324,5.308028,1,-12.003901,15.815363,-13.065905,3,0.14922135,6.8937454,21,-7.799057,-11.326392,0
" Где угодно, только не здесь (1999)",3051,Anywhere But Here (1999),21349,"['Comedy', 'Drama', 'Romance']","['EileenRyan', 'HartBochner', 'NataliePortman', 'SusanSarandon']",5.9,Wayne Wang,['dream'],anywherebuthere,,10.765642,9.454688,1,-11.609255,-11.696262,6.3907685,7,-0.0027117198,6.977346,21,12.665514,-15.790886,1
 Догма (1999),3052,Dogma (1999),1832,"['Adventure', 'Comedy', 'Fantasy']","['BenAffleck', 'JasonMewes', 'LindaFiorentino', 'MattDamon']",6.8,Kevin Smith,"['aftercreditsstinger', 'angel', 'church', 'churchservice', 'duringcreditsstinger', 'wisconsin']",dogma,,19.430613,-0.18816246,1,-1.6683394,-6.5906687,-12.66082,18,0.19166914,7.1089334,21,0.16798933,0.078291,1
 Путешествие Фелисии (1999),3055,Felicia's Journey (1999),47692,['Drama'],"['ArsinéeKhanjian', 'BobHoskins', 'ElaineCassidy', 'PeterMcDonald']",6.6,Atom Egoyan,"['seriesofmurders', 'suspense']",felicia'sjourney,,5.538673,9.78312,0,-15.337273,18.879065,14.114953,2,0.17184599,6.7853847,21,-18.864351,-5.251909,0
 Тора! Тора! Тора! (1970),3066,Tora! Tora! Tora! (1970),11165,"['Action', 'Adventure', 'Drama', 'History', 'War']","['JosephCotten', 'MartinBalsam', 'SôYamamura', 'TatsuyaMihashi']",6.9,Richard Fleischer,"['imperialjapan', 'japan', 'pearlharbor', 'soldier', 'worldwarii']",tora!tora!tora!,,3.835423,13.632943,0,0.40302694,-10.693555,-2.3188157,0,0.061768983,6.9727664,21,-15.3595085,0.9690125,0
 Скруджед (1988),3087,Scrooged (1988),9647,"['Comedy', 'Drama', 'Fantasy']","['BillMurray', 'BobcatGoldthwait', 'JohnForsythe', 'KarenAllen']",6.7,Richard Donner,"['christmas', 'christmascarol', 'comedy', 'duringcreditsstinger', 'ghost', 'holiday', 'scrooge', 'tvratings']",scrooged,,13.299763,6.501795,1,-5.868223,-3.6951091,2.4962313,12,0.20663655,7.086377,21,0.65654343,2.6087127,1
 Морис (1987),3094,Maurice (1987),26371,"['Drama', 'Romance']","['DenholmElliott', 'HughGrant', 'JamesWilby', 'RupertGraves']",7.1,James Ivory,"['bestfriendsinlove', 'british', 'comingofage', 'comingout', 'gay', 'gayrelationship', 'lgbt', 'lgbtchild']",maurice,,3.70465,1.1713986,1,-9.358015,-13.215299,13.59973,13,0.0050670467,6.8828616,21,-18.996708,-0.6687121,0
 Роковое влечение (1987),3101,Fatal Attraction (1987),10998,"['Drama', 'Romance', 'Thriller']","['AnneArcher', 'EllenHamiltonLatzen', 'GlennClose', 'MichaelDouglas']",6.6,Adrian Lyne,"['deceivedwife', 'eroticmovie', 'extramaritalaffair', 'lawyer', 'marriagecrisis', 'sexualobsession', 'suspense', 'wifehusbandrelationship']",fatalattraction,,5.0069623,11.042754,0,12.782163,2.3008776,8.626724,4,0.1383073,6.853743,21,-18.298939,-1.1891947,0
 Полуночный бег (1988),3104,Midnight Run (1988),9013,"['Adventure', 'Comedy', 'Crime']","['CharlesGrodin', 'JohnAshton', 'RobertDeNiro', 'YaphetKotto']",7.2,Martin Brest,"['bailjumper', 'busstation', 'crookedlawyer', 'mafiaaccountant', 'manhattan', 'newyorkcity', 'policesurveillance', 'southwesternu.s.', 'stretchlimousine']",midnightrun,,6.156689,11.329105,0,-4.5494976,-4.2656794,-9.406137,5,0.17466222,6.873338,21,-23.792515,2.1947756,0
 Конец дней (1999),3113,End of Days (1999),9946,"['Action', 'Fantasy', 'Horror', 'Mystery']","['ArnoldSchwarzenegger', 'GabrielByrne', 'KevinPollak', 'RobinTunney']",5.5,Peter Hyams,"['anti-christ', 'atheist', 'bible', 'christianity', 'church', 'devil', 'ex-cop', 'explosion', 'faith', 'flashback', 'hospital', 'mephisto', 'millenium', 'newyearseve', 'newyorkcity', 'nightmare', 'nudity', 'pastor', 'priest', 'satanic', 'satanist', 'sex', 'stigmata', 'suspense', 'train', 'violence', 'womaninjeopardy']",endofdays,,1.4056996,12.076245,0,1.8476412,-18.610525,-1.8756396,10,0.23800924,6.913111,21,3.5655913,18.59753,1
 История игрушек 2 (1999),3114,Toy Story 2 (1999),863,"['Animation', 'Comedy', 'Family']","['JoanCusack', 'KelseyGrammer', 'TimAllen', 'TomHanks']",7.3,John Lasseter,"['airplane', 'collector', 'duringcreditsstinger', 'fleamarket', 'friendship', 'garagesale', 'identitycrisis', 'inanimateobjectscomingtolife', 'museum', 'personification', 'prosecution', 'rescueteam', 'teamwork', 'toycomestolife']",toystory2,,2.935764,5.01811,0,-4.6198378,-2.003358,-16.860966,9,0.21153903,7.004097,21,7.3280344,3.9493928,1
 Безупречный (1999),3115,Flawless (1999),31582,"['Comedy', 'Drama']","['BarryMiller', 'ChrisBauer', 'PhilipSeymourHoffman', 'RobertDeNiro']",5.9,Joel Schumacher,['independentfilm'],flawless,,8.073257,1.2208176,1,-19.51495,10.796431,3.1497498,16,0.15683492,6.9467745,21,-7.799057,-11.326392,0
 Поездка с дьяволом (1999),3117,Ride with the Devil (1999),22267,"['Drama', 'Romance', 'War', 'Western']","['JeffreyWright', 'Jewel', 'SkeetUlrich', 'TobeyMaguire']",6.6,Ang Lee,"['bushwhacker', 'civilwar', 'friends', 'raid']",ridewiththedevil,,11.146072,9.5707445,1,-4.447076,-2.9052286,2.715955,12,0.8411971,5.266156,1,12.688684,-3.2688794,1
 Колыбель Уилл Рок (1999),3145,Cradle Will Rock (1999),32274,['Drama'],"['HankAzaria', 'JoanCusack', 'JohnCusack', 'RubénBlades']",7.2,Tim Robbins,[''],cradlewillrock,,10.648266,22.150368,0,-15.337273,18.879065,14.114953,2,0.17939769,6.975937,21,-7.799057,-11.326392,0
 Дьюс Бигалоу: Мужчина-жиголо (1999),3146,Deuce Bigalow: Male Gigolo (1999),10402,['Comedy'],"['ArijaBareikis', 'EddieGriffin', 'RobSchneider', 'WilliamForsythe']",5.5,Mike Mitchell,"['aquarium', 'callboy', 'carnival', 'fish', 'house', 'illegalprostitution', 'vacation']",deucebigalow:malegigolo,,7.247533,5.8413754,1,-12.003901,15.815363,-13.065905,3,0.21146764,6.990491,21,18.26315,-11.184038,1
Анна и король (1999),3155,Anna and the King (1999),1439,"['Drama', 'History', 'Romance']","['BaiLing', 'ChowYun-fat', 'JodieFoster', 'TomFelton']",6.4,Andy Tennant,"['battle', 'burma', 'civilwar', 'daughter', 'deathpenalty', 'denunciation', 'eastindiatradingcompany', 'fathersonrelationship', 'palace', 'royalty', 'teacher', 'thailand', 'traitor']",annaandtheking,,5.6547976,4.7312856,1,-7.907993,-19.740658,6.7222958,14,0.095279865,7.0213356,21,11.096761,4.995427,1
 Двухсотлетний человек (1999),3156,Bicentennial Man (1999),2277,"['Comedy', 'ScienceFiction']","['EmbethDavidtz', 'OliverPlatt', 'RobinWilliams', 'SamNeill']",6.9,Chris Columbus,"['android', 'freedom', 'futuristic', 'hologram', 'robot']",bicentennialman,,11.890146,4.142285,1,10.20326,9.166635,-1.6992608,19,0.052970503,6.9787445,21,6.4715443,-5.043267,1
 Стюарт Литтл (1999),3157,Stuart Little (1999),10137,"['Animation', 'Comedy', 'Family', 'Fantasy']","['GeenaDavis', 'HughLaurie', 'JonathanLipnicki', 'MichaelJ.Fox']",5.8,Rob Minkoff,"['adoption', 'basedonnovel', 'brotherbrotherrelationship', 'cat', 'gangster', 'kidsandfamily', 'mouse', 'newyorkcitytwintowers', 'orphanage', 'stepbrother']",stuartlittle,,6.8793983,7.8488045,0,-0.1217511,-5.4694324,-12.903688,18,0.2895932,7.15342,21,2.6337333,9.567988,1
 Фантазия 2000 (1999),3159,Fantasia 2000 (1999),49948,"['Animation', 'Family', 'Music']","['BetteMidler', 'ItzhakPerlman', 'QuincyJones', 'SteveMartin']",7.0,James Algar,"['musicalsegments', 'orchestra']",fantasia2000,,0.52666134,6.144542,0,-0.88829565,-2.0266879,-4.277819,5,0.18206403,6.8906784,21,9.039146,-13.469769,1
 Магнолия (1999),3160,Magnolia (1999),334,['Drama'],"['JohnC.Reilly', 'JulianneMoore', 'TomCruise', 'WilliamH.Macy']",7.5,Paul Thomas Anderson,"['becominganadult', 'chance', 'childprodigy', 'daughter', 'dyinganddeath', 'farewell', 'lossoffather', 'parentskidsrelationship', 'reconciliation', 'regret', 'suicideattempt', 'unsociability']",magnolia,,0.8873705,11.363733,0,-15.337273,18.879065,14.114953,2,0.11341565,6.978963,21,-2.7518985,11.148796,1
 Перевернутое (1999),3163,Topsy-Turvy (1999),46435,"['Comedy', 'Drama', 'Music']","['AllanCorduner', 'DexterFletcher', 'JimBroadbent', 'TimothySpall']",6.7,Mike Leigh,"['\\\\\\\\xa0gilbertandsullivan', 'biography', 'cigarsmoking', 'drink', 'exhibition', 'gilbertandsullivansprincessida', 'lyricist', 'musical', 'pianoduet', 'prostitute', 'telephonecall']",topsy-turvy,,1.5306969,2.2514513,0,-10.798533,2.04955,3.9336238,6,0.12872855,7.1395965,21,5.8328323,6.364202,1
 В любое воскресенье (1999),3173,Any Given Sunday (1999),9563,['Drama'],"['AlPacino', 'CameronDiaz', 'DennisQuaid', 'JamesWoods']",6.8,Oliver Stone,"['americanfootball', 'americanfootballcoach', 'americanfootballstadium', 'sport', 'trainer', 'training']",anygivensunday,,2.8417118,31.458416,0,-15.337273,18.879065,14.114953,2,0.14089596,7.2020454,21,8.996191,-6.8801003,1
 Человек на Луне (1999),3174,Man on the Moon (1999),1850,"['Comedy', 'Drama', 'Romance']","['BobZmuda', 'CourtneyLove', 'DannyDeVito', 'JimCarrey']",6.9,Miloš Forman,"['comedian', 'showbusiness', 'wrestling']",manonthemoon,,4.3863263,10.703862,0,-11.609255,-11.696262,6.3907685,7,-0.0100379605,7.1090755,21,15.330851,-3.7155006,1
 Галактический квест (1999),3175,Galaxy Quest (1999),926,"['Comedy', 'Family', 'ScienceFiction']","['AlanRickman', 'SigourneyWeaver', 'TimAllen', 'TonyShalhoub']",6.9,Dean Parisot,"['fictionaltvshow', 'spacebattle', 'spaceship', 'spoof']",galaxyquest,,6.7091565,11.672071,0,13.152539,4.1762414,-7.3144145,1,0.15685187,7.091078,21,-25.649551,-0.8851247,0
 В следующую пятницу (2000),3177,Next Friday (2000),10471,['Comedy'],"['IceCube', 'JohnWitherspoon', 'JustinPierce', 'MikeEpps']",6.4,Steve Carr,"['boygang', 'cholo', 'escape', 'escapefromprison', 'gangmember', 'gangwar', 'losangeles', 'mexicanamerican', 'prison', 'repayment', 'revenge']",nextfriday,,7.5637703,5.245132,1,-12.003901,15.815363,-13.065905,3,0.11868161,7.2364464,21,9.040274,-0.2637102,1
 Прах Анджелы (1999),3179,Angela's Ashes (1999),10397,['Drama'],"['EmilyWatson', 'JoeBreen', 'MichaelLegge', 'RobertCarlyle']",7.0,Alan Parker,"['alcoholism', 'brooklynnewyorkcity', 'emigration', 'famine', 'hunger', 'irish-american', 'sociallydeprivedfamily']",angela'sashes,,2.8334823,31.453955,0,-15.337273,18.879065,14.114953,2,0.010194426,7.003104,21,5.138426,6.639092,1
 Снег падает на кедры (1999),3185,Snow Falling on Cedars (1999),10219,"['Drama', 'Romance']","['AnneSuzuki', 'EthanHawke', 'ReeveCarney', 'YoukiKudoh']",6.3,Scott Hicks,"['bias', 'fisherman', 'japanese', 'japaneseamerican', 'journalist', 'trial', 'war', 'washingtonstate', 'wife']",snowfallingoncedars,,8.852356,5.770052,1,-9.358015,-13.215299,13.59973,13,0.14108725,7.0934935,21,11.095657,-2.5653384,1
 Прерванная жизнь (1999),3186,"Girl, Interrupted (1999)",3558,['Drama'],"['AngelinaJolie', 'BrittanyMurphy', 'CleaDuVall', 'WinonaRyder']",7.6,James Mangold,"['basedonnovel', 'biography', 'borderlinepersonalitydisorder', 'puberty', 'suicideattempt']","girl,interrupted",,13.0806465,6.7086444,1,-15.337273,18.879065,14.114953,2,0.18706763,7.139766,21,-18.098392,-2.3297825,0
 Моя собака Скип (1999),3189,My Dog Skip (1999),17908,"['Comedy', 'Drama', 'Family']","['DianeLane', 'FrankieMuniz', 'KevinBacon', 'LukeWilson']",6.5,Jay Russell,"['childhoodmemory', 'dog', 'mississippi']",mydogskip,,9.956145,6.357038,1,-12.787214,-2.6646867,-6.9170465,5,0.07626957,6.9253244,21,2.340069,3.7186577,1
 Сверхновая (2000),3190,Supernova (2000),10384,"['Horror', 'ScienceFiction', 'Thriller']","['AngelaBassett', 'JamesSpader', 'LouDiamondPhillips', 'RobertForster']",4.9,Walter Hill,"['blackpeople', 'blast', 'future', 'star', 'starships', 'supernova']",supernova,,2.3620014,5.5033526,0,20.124264,4.781625,6.96659,8,0.06484485,7.1931553,21,3.028911,7.9351254,1
 Быстрые времена в Риджмонт Хай (1982),3210,Fast Times at Ridgemont High (1982),13342,['Comedy'],"['JenniferJasonLeigh', 'JudgeReinhold', 'PhoebeCates', 'SeanPenn']",7.0,Amy Heckerling,"['abortion', 'basedonnovel', 'bikini', 'bong', 'comingofage', 'conveniencestore', 'dreamsequence', 'drughumor', 'friendship', 'highschool', 'irreverence', 'lossofvirginity', 'marijuana', 'nudity', 'rocknroll', 'sex', 'shoppingmall', 'stoner', 'surferdude', 'teacher', 'teenagepregnancy', 'teencomedy', 'teenmovie', 'womandirector']",fasttimesatridgemonthigh,,6.099403,8.74998,0,-12.003901,15.815363,-13.065905,3,0.20160319,7.221603,21,-6.0736775,13.600058,0
 Вниз к тебе (2000),3225,Down to You (2000),10472,"['Comedy', 'Drama', 'Family', 'Romance']","['FreddiePrinzeJr.', 'JuliaStiles', 'SelmaBlair', 'ShawnHatosy']",4.9,Kris Isacsson,"['love', 'loveofoneslife', 'lovesickness', 'man-womanrelation', 'newlove', 'relocation']",downtoyou,,4.8364906,6.599902,0,-12.692859,-8.393862,0.42949992,7,0.12100414,6.9284744,21,-0.95231426,-6.8161507,1
 Глаз смотрящего (1999),3238,Eye of the Beholder (1999),18681,"['Drama', 'Mystery', 'Thriller']","['AshleyJudd', 'EwanMcGregor', 'PatrickBergin', 'k.d.lang']",5.3,Stephan Elliott,"['beautifulwoman', 'blindness', 'secretservice', 'serialkiller']",eyeofthebeholder,,7.694483,6.0845127,1,14.424889,5.6083474,5.3987947,19,0.1118236,7.1809278,21,-25.649551,-0.8851247,0
 Малкольм Икс (1992),3246,Malcolm X (1992),1883,"['Drama', 'History']","['AlFreeman', 'AlbertHall', 'AngelaBassett', 'DenzelWashington']",7.2,Spike Lee,"['assassination', 'beach', 'bible', 'biography', 'cabriolet', 'civilrightsmovement', 'historicalfigure', 'islam', 'jailguard', 'koran', 'kukluxklan', 'malcolmx', 'martinlutherking', 'mekka', 'muslim', 'nationofislam', 'newyork', 'pilgrimage', 'police', 'policebrutality', 'prison', 'prisoncell']",malcolmx,,9.440422,0.9140448,1,-6.898155,-6.1486516,4.0511203,7,0.10472382,7.1831303,21,7.5493364,9.495579,1
 Жив (1993),3250,Alive (1993),7305,"['Action', 'Adventure', 'Drama', 'Thriller']","['BruceRamsay', 'EthanHawke', 'JoshHamilton', 'VincentSpano']",6.7,Frank Marshall,"['airplanecrash', 'disastermovie', 'freezing', 'planewreck', 'rugby', 'stranded', 'survival']",alive,,4.8439093,2.8432882,1,16.391003,2.2119193,0.00701309,17,0.06673778,7.103524,21,13.036121,-6.251937,1
 Мир Уэйна (1992),3253,Wayne's World (1992),8872,"['Comedy', 'Music']","['DanaCarvey', 'MikeMyers', 'RobLowe', 'TiaCarrere']",6.5,Penelope Spheeris,"['heavymetal', 'televisionproducer', 'tvshow', 'womandirector']",wayne'sworld,,5.9457493,8.93854,0,-8.0213175,5.0228176,-8.2123785,11,0.066104226,7.2518544,21,-25.649551,-0.8851247,0
 Игры Патриотов (1992),3256,Patriot Games (1992),9869,"['Action', 'Crime', 'Drama', 'Thriller']","['AnneArcher', 'HarrisonFord', 'PatrickBergin', 'ThoraBirch']",6.3,Phillip Noyce,"['assassin', 'assassination', 'ira', 'jackryan', 'repayment']",patriotgames,,5.4419074,8.518246,0,12.955965,4.0579224,0.080088094,15,0.13921642,7.2492137,21,8.901747,-1.0192567,1
 Смерть становится ей (1992),3258,Death Becomes Her (1992),9374,"['Comedy', 'Fantasy']","['BruceWillis', 'GoldieHawn', 'IsabellaRossellini', 'MerylStreep']",6.3,Robert Zemeckis,"['beauty', 'drinking', 'immortality', 'jealousy', 'potion', 'rivalry']",deathbecomesher,,17.147652,13.639069,1,-0.6623515,-7.402709,-10.740784,18,0.016501807,7.1704626,21,18.347633,-8.471488,1
 Говардс Энд (1992),3260,Howards End (1992),8293,"['Drama', 'Romance']","['EmmaThompson', 'HelenaBonhamCarter', 'PrunellaScales', 'VanessaRedgrave']",6.9,James Ivory,"['basedonnovel', 'edwardianengland', 'empowerment', 'sister', 'sistersisterrelationship', 'turnofthecentury']",howardsend,,3.6920156,1.170374,1,-9.358015,-13.215299,13.59973,13,0.167637,7.2701235,21,-18.287344,1.7166355,0
 Крик 3 (2000),3273,Scream 3 (2000),4234,"['Horror', 'Mystery']","['CourteneyCox', 'DavidArquette', 'NeveCampbell', 'PatrickDempsey']",5.7,Wes Craven,"['ex-cop', 'filmdirector', 'mask', 'metaldetector', 'reporter', 'scream', 'seriesofmurders', 'slasher']",scream3,,9.280786,2.383331,1,-0.43694514,-11.307829,2.4311557,0,0.17807277,7.1171966,21,2.5778713,8.178531,1
 Застенчивый (2000),3276,Gun Shy (2000),29076,"['Action', 'Comedy', 'Romance', 'Thriller']","['JoséZúñiga', 'LiamNeeson', 'OliverPlatt', 'SandraBullock']",5.4,Eric Blakeney,"['drugcartel', 'femalenudity', 'nervousbreakdown']",gunshy,,4.2025642,5.5046825,0,11.426516,-2.5313654,-3.2340527,15,0.11441048,7.346948,21,-23.419552,-3.010348,0
 Снежный день (2000),3286,Snow Day (2000),15489,"['Comedy', 'Family']","['ChevyChase', 'ChrisElliott', 'IggyPop', 'JeanSmart']",4.8,Chris Koch,[''],snowday,,5.579153,8.374769,0,-6.606357,-4.2261305,-21.456577,9,0.10108784,7.0916023,21,-7.799057,-11.326392,0
 Котельная (2000),3298,Boiler Room (2000),14181,"['Crime', 'Drama', 'Thriller']","['GiovanniRibisi', 'NiaLong', 'TomEverettScott', 'VinDiesel']",6.5,Ben Younger,"['finances', 'investmentfirm', 'stockbroker']",boilerroom,,7.413294,5.9431367,1,11.454601,6.207516,4.13468,19,0.16184467,6.94367,21,-10.460304,-7.837345,0
 Повешение (2000),3299,Hanging Up (2000),10385,"['Comedy', 'Drama']","['DianeKeaton', 'LisaKudrow', 'MegRyan', 'WalterMatthau']",5.0,Diane Keaton,"['amnesia', 'cheating', 'crisisline', 'ex-wife', 'lossofwife', 'sistersisterrelationship', 'telephone', 'womandirector']",hangingup,,-12.143848,-2.6191187,0,-19.51495,10.796431,3.1497498,16,0.07329301,7.206496,21,-15.356815,4.2994204,0
 Как кромешная тьма (2000),3300,Pitch Black (2000),2787,"['Action', 'ScienceFiction', 'Thriller']","['ColeHauser', 'LewisFitz-Gerald', 'RadhaMitchell', 'VinDiesel']",6.7,David Twohy,"['alienlife-form', 'comet', 'corps', 'darkness', 'dystopia', 'eclipse', 'flask', 'survival']",pitchblack,,3.5424554,9.776856,0,18.693333,6.7124577,5.8964796,8,0.10899238,7.242912,21,16.511995,-1.4264815,1
 Оленьи игры (2000),3316,Reindeer Games (2000),2155,['Thriller'],"['BenAffleck', 'CharlizeTheron', 'DennisFarina', 'GarySinise']",5.4,John Frankenheimer,"['extramaritalaffair', 'prison', 'robbery', 'rolereversal']",reindeergames,,3.1384456,29.86486,0,15.462133,4.3917923,11.865404,4,0.100468576,7.0241203,21,13.301153,1.670912,1
 Чудо-мальчики (2000),3317,Wonder Boys (2000),11004,"['Comedy', 'Drama']","['FrancesMcDormand', 'KatieHolmes', 'MichaelDouglas', 'TobeyMaguire']",6.9,Curtis Hanson,"['adultery', 'basedonnovel', 'college', 'dog', 'drug', 'liar', 'marijuana', 'party', 'police', 'professor', 'robbery', 'university', 'writer']",wonderboys,,9.560711,-2.7562518,1,-19.51495,10.796431,3.1497498,16,0.084995784,7.1744995,21,12.813444,-4.1062484,1
 Утопающая Мона (2000),3324,Drowning Mona (2000),25166,"['Comedy', 'Crime', 'Mystery']","['BetteMidler', 'DannyDeVito', 'JamieLeeCurtis', 'NeveCampbell']",5.4,Nick Gomez,"['accident', 'death', 'dysfunctional', 'investigation', 'murder', 'remake', 'suspect', 'suspicion']",drowningmona,,7.6358137,8.706317,0,-4.3115296,-9.694322,-4.0694895,0,0.17087533,7.1008167,21,22.288113,-5.8164825,1
 С какой Вы планеты? (2000),3326,What Planet Are You From? (2000),10416,"['Comedy', 'Drama', 'Romance', 'ScienceFiction']","['AnnetteBening', 'GarryShandling', 'GregKinnear', 'JohnGoodman']",5.4,Mike Nichols,"['alien', 'alienlife-form', 'erection', 'neuefrau', 'noises', 'reproduction']",whatplanetareyoufrom?,,11.580224,-0.4333141,1,10.253578,2.9399898,3.3494706,15,0.12627771,7.1640134,21,14.445612,-4.207852,1
 За ковриком (1999),3327,Beyond the Mat (1999),14271,['Documentary'],"['DwayneJohnson', 'MickFoley', 'TerryFunk', 'VinceMcMahon']",7.8,Barry W. Blaustein,"['controversial', 'ecw', 'sport', 'wrestling', 'wwe']",beyondthemat,,3.1220844,30.339706,0,-3.134467,3.776885,-1.5626373,11,0.07999193,7.1783624,21,9.9281225,-0.6806935,1
 Собака-призрак: Путь самурая (1999),3328,Ghost Dog: The Way of the Samurai (1999),4816,"['Crime', 'Drama']","['CliffGorman', 'ForestWhitaker', 'HenrySilva', 'TriciaVessey']",7.2,Jim Jarmusch,"['armsling', 'beating', 'book', 'cdplayer', 'code', 'deportation', 'hagakure', 'haitian', 'hitman', 'icecream', 'mafia', 'missionofmurder', 'park', 'pigeon', 'racialslur', 'rouge', 'telescope']",ghostdog:thewayofthesamurai,,4.267394,7.723375,0,-13.161213,8.548437,4.8700733,6,-0.060329117,6.9640527,21,5.138723,2.2554717,1
Миссия на Марс (2000),3354,Mission to Mars (2000),2067,['ScienceFiction'],"['ConnieNielsen', 'DonCheadle', 'GarySinise', 'TimRobbins']",5.7,Brian De Palma,"['alien', 'aliencontact', 'astronaut', 'dismemberment', 'longtake', 'mars', 'outerspace', 'spacecraft', 'spacetravel', 'trappedinspace']",missiontomars,,-12.110753,-2.652262,0,15.462133,4.3917923,11.865404,4,0.017486915,7.235052,21,-0.43667793,12.231504,1
